
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,-1,-2,-2,-3,-4,-5,93,82,75,1003,998,995,10,9,2,19,13,,0.00,6,Snow,28<br />
2010-1-2,-1,-3,-4,-2,-3,-5,100,92,80,1018,1011,1003,10,8,1,21,10,,0.00,6,Snow,317<br />
2010-1-3,-3,-4,-7,-4,-6,-7,100,92,80,1021,1019,1018,10,9,3,14,8,,0.00,6,Snow,36<br />
2010-1-4,-5,-6,-7,-6,-7,-8,100,90,80,1021,1016,1012,10,8,5,23,8,,0.00,6,Snow,244<br />
2010-1-5,-4,-7,-8,-7,-8,-9,93,84,74,1011,1009,1006,10,9,5,13,10,,0.00,6,Fog,164<br />
2010-1-6,-6,-8,-9,-7,-8,-10,93,91,86,1006,1005,1004,7,4,2,13,6,,0.00,6,Fog-Snow,345<br />
2010-1-7,-4,-7,-8,-5,-7,-9,93,91,86,1017,1010,1006,10,7,4,14,10,,0.00,6,Snow,259<br />
2010-1-8,-3,-8,-12,-5,-8,-13,100,90,80,1022,1020,1017,10,8,1,24,10,,0.00,5,Fog-Snow,34<br />
2010-1-9,-2,-3,-3,-4,-4,-5,93,88,80,1020,1016,1014,10,5,1,34,27,55,0.00,7,Snow,43<br />
2010-1-10,-2,-3,-5,-4,-5,-7,93,87,80,1017,1015,1013,10,7,3,29,23,42,0.00,6,Snow,50<br />
2010-1-11,-3,-4,-5,-5,-6,-6,93,86,80,1020,1018,1017,10,9,4,14,10,,0.00,6,Snow,58<br />
2010-1-12,-3,-4,-4,-4,-5,-6,93,89,86,1022,1020,1018,8,6,3,21,8,,0.00,6,,90<br />
2010-1-13,-1,-2,-3,-3,-4,-5,93,89,80,1017,1015,1014,10,6,4,26,19,42,0.00,6,,96<br />
