
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,8,7,5,6,3,2,100,78,62,1009,1004,1003,31,14,10,26,18,,0.76,6,Rain,216<br />
2013-1-2,6,4,3,4,3,1,93,86,73,1024,1017,1009,31,15,10,29,19,,0.51,6,Rain,255<br />
2013-1-3,10,7,4,9,6,2,100,89,72,1025,1022,1020,26,9,4,34,24,48,0.51,7,Rain,258<br />
2013-1-4,9,8,6,9,7,4,100,89,73,1028,1025,1021,31,10,3,29,23,50,6.10,6,Rain,283<br />
2013-1-5,7,6,5,8,6,4,100,93,83,1029,1026,1022,26,11,5,18,11,,0.00,7,Rain,321<br />
2013-1-6,7,6,5,7,6,5,100,98,87,1028,1023,1020,19,6,2,21,10,,1.02,7,Rain,299<br />
2013-1-7,7,4,3,7,3,2,100,93,84,1028,1027,1024,11,9,3,14,8,,0.00,7,Rain,110<br />
2013-1-8,7,4,2,7,5,2,100,99,93,1026,1022,1020,10,4,1,14,8,,3.05,7,Rain,252<br />
2013-1-9,7,7,6,7,7,4,100,97,87,1022,1016,1009,10,4,0,24,10,,3.05,7,Fog-Rain,233<br />
2013-1-10,5,2,-1,4,2,-4,100,90,72,1010,1007,1005,31,12,6,29,18,,2.03,6,Rain-Snow,303<br />
2013-1-11,0,-1,-3,-2,-3,-4,93,85,66,1016,1012,1008,31,13,1,18,13,,0.25,6,Snow,304<br />
2013-1-12,-1,-2,-4,-1,-3,-5,100,91,80,1020,1017,1015,31,13,3,14,10,,0.00,6,Snow,313<br />
2013-1-13,-2,-3,-4,-2,-4,-6,93,83,68,1022,1020,1020,19,10,3,19,10,,0.00,6,Snow,63<br />
2013-1-14,-3,-6,-8,-5,-7,-9,93,87,78,1021,1016,1012,11,6,2,21,13,,0.00,6,Snow,102<br />
2013-1-15,-3,-4,-6,-4,-5,-6,100,91,81,1012,1011,1010,7,6,5,19,8,,0.00,6,Snow,112<br />
2013-1-16,-3,-4,-5,-4,-6,-6,93,90,79,1012,1011,1010,7,6,5,14,10,,0.00,7,Rain-Snow,28<br />
2013-1-17,0,-2,-4,-3,-3,-5,93,81,59,1018,1015,1012,26,10,6,16,8,,0.00,6,Rain-Snow,26<br />
2013-1-18,-3,-3,-4,-4,-6,-8,86,77,65,1018,1014,1010,27,13,9,32,13,,0.00,6,Rain-Snow,74<br />
2013-1-19,-7,-8,-8,-7,-9,-11,86,78,65,1010,1006,1004,31,14,9,27,19,,0.00,5,Snow,66<br />
2013-1-20,-4,-6,-8,-6,-7,-9,86,81,66,1005,1004,1002,19,12,10,27,13,,0.00,6,Snow,67<br />
2013-1-21,-3,-6,-7,-5,-7,-9,93,82,61,1007,1004,1003,18,8,2,29,21,,0.51,6,Snow,61<br />
2013-1-22,-6,-7,-8,-8,-9,-10,93,80,68,1011,1009,1006,19,10,3,19,13,,0.00,7,Snow,62<br />
2013-1-23,-6,-7,-7,-8,-9,-10,86,79,63,1012,1011,1010,13,10,6,10,5,,0.00,7,Rain-Snow,55<br />
2013-1-24,-4,-7,-8,-7,-8,-10,93,80,66,1020,1014,1011,10,8,5,14,5,,0.00,6,Rain-Snow,12<br />
2013-1-25,0,-7,-14,-6,-9,-14,100,81,50,1023,1022,1020,18,9,5,16,5,,0.00,4,Fog-Snow,160<br />
2013-1-26,-6,-8,-11,-8,-10,-12,93,79,62,1021,1015,1011,16,10,5,19,14,,0.00,3,Snow,140<br />
2013-1-27,2,-3,-7,2,-3,-8,100,88,69,1011,1007,1002,13,7,2,18,11,,1.02,7,Rain-Snow,192<br />
2013-1-28,5,2,0,2,1,0,100,88,68,1014,1010,1004,31,12,6,23,11,,0.00,6,Rain,228<br />
2013-1-29,7,4,2,7,3,0,100,89,77,1013,1007,1005,31,12,6,26,18,,2.03,6,Rain-Snow,215<br />
2013-1-30,12,9,5,10,7,3,100,89,72,1006,1002,998,31,13,10,34,19,40,2.03,6,Rain,235<br />
2013-1-31,8,6,4,3,2,0,87,70,45,1007,1004,1001,19,10,8,47,35,74,0.00,6,Rain-Thunderstorm,260<br />
2013-2-1,7,6,3,3,2,1,93,76,56,1004,1000,990,31,13,10,45,27,63,0.00,7,Rain,234<br />
2013-2-2,4,1,-2,3,-1,-6,100,85,56,1007,997,988,26,11,3,23,11,34,2.03,6,Rain-Snow,327<br />
2013-2-3,3,-1,-5,1,-2,-6,100,86,63,1012,1009,1002,31,10,2,26,13,,2.03,6,Rain-Snow,260<br />
2013-2-4,7,3,0,5,2,0,100,90,71,1005,1003,999,31,10,2,29,19,,3.05,5,Rain-Snow,253<br />
2013-2-5,7,3,0,3,1,-2,93,78,63,1003,997,992,31,12,10,39,24,50,0.76,5,Rain,235<br />
2013-2-6,4,1,-3,-1,-3,-4,93,73,48,1001,998,997,10,10,10,24,14,,0.00,4,,243<br />
2013-2-7,2,0,-2,0,-2,-4,100,82,56,1009,1005,1001,31,12,10,16,11,,0.00,6,Snow,270<br />
2013-2-8,1,-1,-2,0,-1,-3,100,96,82,1014,1010,1008,14,8,2,14,8,,0.51,6,Snow,276<br />
