Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,4396,,438401735,,,0
H4,2014,2014,2014,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,,,9703139,,,0
H4,2014,2014,2014,4,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,101,,1292686,,,0
H4,2014,2014,2014,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,32,,118017982,,,4
H4,2014,2014,2014,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,,,20562669287,,,0
H4,2014,2014,2014,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,1,,93018,,,0
H4,2014,2014,2014,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,5712,,6721286763,,,4
H4,2014,2014,2014,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,,,14154559,,,0
H4,2014,2014,2014,4,0,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,65,,564478,,,0
H4,2014,2014,2014,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,,,42520,,,0
