Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201401,Exports,United Kingdom,Australia,"Palm oil and its fractions, not chemically modified",1511,17614
2014,201401,Exports,United Kingdom,Austria,"Palm oil and its fractions, not chemically modified",1511,1614
2014,201401,Exports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,33057
2014,201401,Imports,United Kingdom,Brazil,"Palm oil and its fractions, not chemically modified",1511,1663182
2014,201401,Exports,United Kingdom,Brazil,"Palm oil and its fractions, not chemically modified",1511,20261
2014,201401,Imports,United Kingdom,Solomon Isds,"Palm oil and its fractions, not chemically modified",1511,2004587
2014,201401,Exports,United Kingdom,Denmark,"Palm oil and its fractions, not chemically modified",1511,1621
2014,201401,Exports,United Kingdom,Estonia,"Palm oil and its fractions, not chemically modified",1511,102
2014,201401,Exports,United Kingdom,Finland,"Palm oil and its fractions, not chemically modified",1511,43643
2014,201401,Imports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,43918
2014,201401,Exports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,142931
2014,201401,Imports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,301684
2014,201401,Exports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,362262
2014,201401,Imports,United Kingdom,Ghana,"Palm oil and its fractions, not chemically modified",1511,58990
2014,201401,Imports,United Kingdom,Indonesia,"Palm oil and its fractions, not chemically modified",1511,1553443
2014,201401,Exports,United Kingdom,Ireland,"Palm oil and its fractions, not chemically modified",1511,2201263
2014,201401,Exports,United Kingdom,Italy,"Palm oil and its fractions, not chemically modified",1511,32118
2014,201401,Exports,United Kingdom,Malaysia,"Palm oil and its fractions, not chemically modified",1511,18355
2014,201401,Exports,United Kingdom,Malta,"Palm oil and its fractions, not chemically modified",1511,87950
2014,201401,Exports,United Kingdom,Oman,"Palm oil and its fractions, not chemically modified",1511,11278
2014,201401,Imports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,5500359
2014,201401,Exports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,19428
2014,201401,Imports,United Kingdom,Papua New Guinea,"Palm oil and its fractions, not chemically modified",1511,18497625
2014,201401,Imports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,936
2014,201401,Exports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,37352
2014,201401,Exports,United Kingdom,Portugal,"Palm oil and its fractions, not chemically modified",1511,3812
2014,201401,Exports,United Kingdom,Romania,"Palm oil and its fractions, not chemically modified",1511,119
2014,201401,Exports,United Kingdom,Saudi Arabia,"Palm oil and its fractions, not chemically modified",1511,27877
2014,201401,Imports,United Kingdom,Sierra Leone,"Palm oil and its fractions, not chemically modified",1511,3456
2014,201401,Exports,United Kingdom,India,"Palm oil and its fractions, not chemically modified",1511,2871
2014,201401,Exports,United Kingdom,Slovakia,"Palm oil and its fractions, not chemically modified",1511,641
2014,201401,Imports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,825117
2014,201401,Exports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,140193
2014,201401,Exports,United Kingdom,Switzerland,"Palm oil and its fractions, not chemically modified",1511,7064
2014,201401,Exports,United Kingdom,United Arab Emirates,"Palm oil and its fractions, not chemically modified",1511,18818
2014,201402,Exports,United Kingdom,Austria,"Palm oil and its fractions, not chemically modified",1511,10391
2014,201402,Exports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,190
2014,201402,Imports,United Kingdom,Brazil,"Palm oil and its fractions, not chemically modified",1511,2220
2014,201402,Exports,United Kingdom,Brazil,"Palm oil and its fractions, not chemically modified",1511,3402
2014,201402,Imports,United Kingdom,Solomon Isds,"Palm oil and its fractions, not chemically modified",1511,2430943
2014,201402,Imports,United Kingdom,Colombia,"Palm oil and its fractions, not chemically modified",1511,42498
2014,201402,Exports,United Kingdom,Cyprus,"Palm oil and its fractions, not chemically modified",1511,1030
2014,201402,Exports,United Kingdom,Denmark,"Palm oil and its fractions, not chemically modified",1511,663
2014,201402,Exports,United Kingdom,Estonia,"Palm oil and its fractions, not chemically modified",1511,38
2014,201402,Exports,United Kingdom,Finland,"Palm oil and its fractions, not chemically modified",1511,34694
2014,201402,Imports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,420
2014,201402,Exports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,77279
2014,201402,Imports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,424272
2014,201402,Exports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,343089
2014,201402,Imports,United Kingdom,Ghana,"Palm oil and its fractions, not chemically modified",1511,156961
2014,201402,Exports,United Kingdom,Hungary,"Palm oil and its fractions, not chemically modified",1511,278
2014,201402,Imports,United Kingdom,Indonesia,"Palm oil and its fractions, not chemically modified",1511,1824255
2014,201402,Exports,United Kingdom,Ireland,"Palm oil and its fractions, not chemically modified",1511,1687390
2014,201402,Exports,United Kingdom,Italy,"Palm oil and its fractions, not chemically modified",1511,72270
2014,201402,Imports,United Kingdom,Malaysia,"Palm oil and its fractions, not chemically modified",1511,6805562
2014,201402,Exports,United Kingdom,Malta,"Palm oil and its fractions, not chemically modified",1511,88880
2014,201402,Exports,United Kingdom,Morocco,"Palm oil and its fractions, not chemically modified",1511,21630
2014,201402,Imports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,5290302
2014,201402,Exports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,108145
2014,201402,Imports,United Kingdom,Papua New Guinea,"Palm oil and its fractions, not chemically modified",1511,12151818
2014,201402,Imports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,3050
2014,201402,Exports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,20919
2014,201402,Imports,United Kingdom,Portugal,"Palm oil and its fractions, not chemically modified",1511,2135
2014,201402,Exports,United Kingdom,Portugal,"Palm oil and its fractions, not chemically modified",1511,12331
2014,201402,Exports,United Kingdom,Romania,"Palm oil and its fractions, not chemically modified",1511,371
2014,201402,Imports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,815766
2014,201402,Exports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,110479
2014,201402,Exports,United Kingdom,Sweden,"Palm oil and its fractions, not chemically modified",1511,160672
2014,201402,Exports,United Kingdom,United States of America,"Palm oil and its fractions, not chemically modified",1511,162407
2014,201403,Exports,United Kingdom,Austria,"Palm oil and its fractions, not chemically modified",1511,20003
2014,201403,Imports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,409
2014,201403,Exports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,17930
2014,201403,Imports,United Kingdom,Solomon Isds,"Palm oil and its fractions, not chemically modified",1511,2825310
2014,201403,Exports,United Kingdom,Bulgaria,"Palm oil and its fractions, not chemically modified",1511,15
2014,201403,Exports,United Kingdom,China,"Palm oil and its fractions, not chemically modified",1511,7431
2014,201403,Imports,United Kingdom,Colombia,"Palm oil and its fractions, not chemically modified",1511,42430
2014,201403,Exports,United Kingdom,Denmark,"Palm oil and its fractions, not chemically modified",1511,583
2014,201403,Exports,United Kingdom,Estonia,"Palm oil and its fractions, not chemically modified",1511,45
2014,201403,Exports,United Kingdom,Finland,"Palm oil and its fractions, not chemically modified",1511,30993
2014,201403,Imports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,6425
2014,201403,Exports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,142175
2014,201403,Imports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,382938
2014,201403,Exports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,307074
2014,201403,Imports,United Kingdom,Ghana,"Palm oil and its fractions, not chemically modified",1511,9195
2014,201403,Exports,United Kingdom,Iceland,"Palm oil and its fractions, not chemically modified",1511,1563
2014,201403,Imports,United Kingdom,Indonesia,"Palm oil and its fractions, not chemically modified",1511,9978886
2014,201403,Exports,United Kingdom,Ireland,"Palm oil and its fractions, not chemically modified",1511,2302337
2014,201403,Exports,United Kingdom,Italy,"Palm oil and its fractions, not chemically modified",1511,56359
2014,201403,Exports,United Kingdom,Japan,"Palm oil and its fractions, not chemically modified",1511,17676
2014,201403,Exports,United Kingdom,Lithuania,"Palm oil and its fractions, not chemically modified",1511,58
2014,201403,Imports,United Kingdom,Malaysia,"Palm oil and its fractions, not chemically modified",1511,4714250
2014,201403,Exports,United Kingdom,Oman,"Palm oil and its fractions, not chemically modified",1511,5496
2014,201403,Imports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,4715312
2014,201403,Exports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,16314
2014,201403,Imports,United Kingdom,Papua New Guinea,"Palm oil and its fractions, not chemically modified",1511,14290119
2014,201403,Imports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,7845
2014,201403,Exports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,29775
2014,201403,Exports,United Kingdom,Portugal,"Palm oil and its fractions, not chemically modified",1511,5724
2014,201403,Exports,United Kingdom,Russian Federation,"Palm oil and its fractions, not chemically modified",1511,2070
2014,201403,Exports,United Kingdom,Saudi Arabia,"Palm oil and its fractions, not chemically modified",1511,28130
2014,201403,Imports,United Kingdom,Sierra Leone,"Palm oil and its fractions, not chemically modified",1511,9218
2014,201403,Exports,United Kingdom,Slovakia,"Palm oil and its fractions, not chemically modified",1511,637
2014,201403,Imports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,741612
2014,201403,Exports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,82516
2014,201403,Exports,United Kingdom,Sweden,"Palm oil and its fractions, not chemically modified",1511,1147
2014,201403,Exports,United Kingdom,Switzerland,"Palm oil and its fractions, not chemically modified",1511,3933
2014,201403,Exports,United Kingdom,Turkey,"Palm oil and its fractions, not chemically modified",1511,17312
2014,201404,Exports,United Kingdom,Austria,"Palm oil and its fractions, not chemically modified",1511,3900
2014,201404,Imports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,1645
2014,201404,Exports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,38771
2014,201404,Imports,United Kingdom,Solomon Isds,"Palm oil and its fractions, not chemically modified",1511,1831471
2014,201404,Exports,United Kingdom,China,"Palm oil and its fractions, not chemically modified",1511,7482
2014,201404,Imports,United Kingdom,Colombia,"Palm oil and its fractions, not chemically modified",1511,1088646
2014,201404,Exports,United Kingdom,Denmark,"Palm oil and its fractions, not chemically modified",1511,13278
2014,201404,Exports,United Kingdom,Estonia,"Palm oil and its fractions, not chemically modified",1511,105
2014,201404,Exports,United Kingdom,Finland,"Palm oil and its fractions, not chemically modified",1511,28753
2014,201404,Imports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,13048
2014,201404,Exports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,133075
2014,201404,Imports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,420699
2014,201404,Exports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,325685
2014,201404,Imports,United Kingdom,Ghana,"Palm oil and its fractions, not chemically modified",1511,79855
2014,201404,Imports,United Kingdom,Indonesia,"Palm oil and its fractions, not chemically modified",1511,4659742
2014,201404,Exports,United Kingdom,Ireland,"Palm oil and its fractions, not chemically modified",1511,2745945
2014,201404,Exports,United Kingdom,Israel,"Palm oil and its fractions, not chemically modified",1511,1421
2014,201404,Exports,United Kingdom,Italy,"Palm oil and its fractions, not chemically modified",1511,70666
2014,201404,Exports,United Kingdom,Japan,"Palm oil and its fractions, not chemically modified",1511,14090
2014,201404,Exports,United Kingdom,Lithuania,"Palm oil and its fractions, not chemically modified",1511,55
2014,201404,Imports,United Kingdom,Malaysia,"Palm oil and its fractions, not chemically modified",1511,1851805
2014,201404,Exports,United Kingdom,Mexico,"Palm oil and its fractions, not chemically modified",1511,5003
2014,201404,Imports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,4780239
2014,201404,Exports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,7604
2014,201404,Imports,United Kingdom,Papua New Guinea,"Palm oil and its fractions, not chemically modified",1511,15785881
2014,201404,Imports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,2000
2014,201404,Exports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,31265
2014,201404,Exports,United Kingdom,Portugal,"Palm oil and its fractions, not chemically modified",1511,1687
2014,201404,Imports,United Kingdom,Sierra Leone,"Palm oil and its fractions, not chemically modified",1511,38140
2014,201404,Exports,United Kingdom,India,"Palm oil and its fractions, not chemically modified",1511,6197
2014,201404,Exports,United Kingdom,Slovakia,"Palm oil and its fractions, not chemically modified",1511,763
2014,201404,Imports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,335159
2014,201404,Exports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,74177
2014,201404,Exports,United Kingdom,Sweden,"Palm oil and its fractions, not chemically modified",1511,9399
2014,201405,Exports,United Kingdom,Austria,"Palm oil and its fractions, not chemically modified",1511,5834
2014,201405,Exports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,4516
2014,201405,Exports,United Kingdom,Brazil,"Palm oil and its fractions, not chemically modified",1511,42620
2014,201405,Exports,United Kingdom,Bulgaria,"Palm oil and its fractions, not chemically modified",1511,15
2014,201405,Exports,United Kingdom,Canada,"Palm oil and its fractions, not chemically modified",1511,21326
2014,201405,Exports,United Kingdom,Cyprus,"Palm oil and its fractions, not chemically modified",1511,2620
2014,201405,Exports,United Kingdom,Denmark,"Palm oil and its fractions, not chemically modified",1511,2442
2014,201405,Imports,United Kingdom,Ecuador,"Palm oil and its fractions, not chemically modified",1511,43046
2014,201405,Exports,United Kingdom,Finland,"Palm oil and its fractions, not chemically modified",1511,87602
2014,201405,Imports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,9531
2014,201405,Exports,United Kingdom,France,"Palm oil and its fractions, not chemically modified",1511,74123
2014,201405,Imports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,1019367
2014,201405,Exports,United Kingdom,Germany,"Palm oil and its fractions, not chemically modified",1511,337596
2014,201405,Imports,United Kingdom,Ghana,"Palm oil and its fractions, not chemically modified",1511,62092
2014,201405,Exports,United Kingdom,Hungary,"Palm oil and its fractions, not chemically modified",1511,42
2014,201405,Imports,United Kingdom,Indonesia,"Palm oil and its fractions, not chemically modified",1511,1294040
2014,201405,Exports,United Kingdom,Ireland,"Palm oil and its fractions, not chemically modified",1511,1962064
2014,201405,Exports,United Kingdom,Italy,"Palm oil and its fractions, not chemically modified",1511,47859
2014,201405,Exports,United Kingdom,Japan,"Palm oil and its fractions, not chemically modified",1511,2484
2014,201405,Exports,United Kingdom,Kuwait,"Palm oil and its fractions, not chemically modified",1511,19530
2014,201405,Exports,United Kingdom,Latvia,"Palm oil and its fractions, not chemically modified",1511,1399
2014,201405,Imports,United Kingdom,Malaysia,"Palm oil and its fractions, not chemically modified",1511,1767341
2014,201405,Imports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,6387392
2014,201405,Exports,United Kingdom,Netherlands,"Palm oil and its fractions, not chemically modified",1511,24440
2014,201405,Imports,United Kingdom,Papua New Guinea,"Palm oil and its fractions, not chemically modified",1511,17810612
2014,201405,Imports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,2000
2014,201405,Exports,United Kingdom,Poland,"Palm oil and its fractions, not chemically modified",1511,23361
2014,201405,Exports,United Kingdom,Portugal,"Palm oil and its fractions, not chemically modified",1511,5977
2014,201405,Exports,United Kingdom,Romania,"Palm oil and its fractions, not chemically modified",1511,376
2014,201405,Imports,United Kingdom,Sierra Leone,"Palm oil and its fractions, not chemically modified",1511,5963
2014,201405,Exports,United Kingdom,Slovakia,"Palm oil and its fractions, not chemically modified",1511,647
2014,201405,Exports,United Kingdom,South Africa,"Palm oil and its fractions, not chemically modified",1511,1367
2014,201405,Imports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,489691
2014,201405,Exports,United Kingdom,Spain,"Palm oil and its fractions, not chemically modified",1511,100329
2014,201405,Exports,United Kingdom,Sweden,"Palm oil and its fractions, not chemically modified",1511,189282
2014,201405,Exports,United Kingdom,Egypt,"Palm oil and its fractions, not chemically modified",1511,11320
2014,201405,Exports,United Kingdom,United States of America,"Palm oil and its fractions, not chemically modified",1511,87600
2014,201406,Exports,United Kingdom,Argentina,"Palm oil and its fractions, not chemically modified",1511,3786
2014,201406,Exports,United Kingdom,Australia,"Palm oil and its fractions, not chemically modified",1511,12543
2014,201406,Exports,United Kingdom,Austria,"Palm oil and its fractions, not chemically modified",1511,350
2014,201406,Imports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,100
2014,201406,Exports,United Kingdom,Belgium,"Palm oil and its fractions, not chemically modified",1511,22066
