Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201401,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,30453298
2014,201401,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,3232246
2014,201402,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,29950202
2014,201402,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,2916552
2014,201403,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,37723949
2014,201403,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,3097296
2014,201404,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,30888330
2014,201404,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,3519323
2014,201405,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,28891074
2014,201405,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,3056769
2014,201406,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,25941229
2014,201406,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,3429534
2014,201406,Re-imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,2042
2014,201407,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,60149143
2014,201407,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,1812816
2014,201408,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,14706640
2014,201408,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,2008623
2014,201409,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,35478934
2014,201409,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,3113077
2014,201410,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,43713838
2014,201410,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,2817757
2014,201411,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,12451432
2014,201411,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,2866522
2014,201412,Imports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,30568455
2014,201412,Exports,United Kingdom,World,"Palm oil and its fractions, not chemically modified",1511,4351760
