Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,32825863.0,,30453298,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1794592.0,,3232246,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,9000.0,,17614,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,402.0,,1614,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,10894.0,,33057,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,76,Brazil,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1992888.0,,1663182,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,76,Brazil,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,410.0,,20261,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,90,Solomon Isds,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,2401970.0,,2004587,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,185.0,,1621,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,233,Estonia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,235.0,,102,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,31293.0,,43643,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,251,France,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,12645.0,,43918,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,58264.0,,142931,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,219143.0,,301684,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,270589.0,,362262,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,288,Ghana,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,40882.0,,58990,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,360,Indonesia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1991243.0,,1553443,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1260527.0,,2201263,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,10351.0,,32118,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,458,Malaysia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,110.0,,18355,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,52145.0,,87950,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,512,Oman,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,2080.0,,11278,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,4461259.0,,5500359,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,6850.0,,19428,,,0
